complex_id,ba_value,ba_measure,ligand_id,protein_id,pdb_id,pdb_lignum,target_chain
davisBC000028,5.0,KIKD,davisDC000001,davisPT000028,,###,#
davisBC000029,5.0,KIKD,davisDC000001,davisPT000029,,###,#
davisBC000030,5.0,KIKD,davisDC000001,davisPT000030,,###,#
davisBC000031,7.886056648,KIKD,davisDC000001,davisPT000031,,###,#
davisBC000032,5.0,KIKD,davisDC000001,davisPT000032,,###,#
davisBC000033,5.0,KIKD,davisDC000001,davisPT000033,,###,#
davisBC000034,5.0,KIKD,davisDC000001,davisPT000034,,###,#
davisBC000035,6.236572006,KIKD,davisDC000001,davisPT000023,,###,#
davisBC000036,5.0,KIKD,davisDC000001,davisPT000035,,###,#
davisBC000037,5.920818754,KIKD,davisDC000001,davisPT000036,,###,#
davisBC000038,5.0,KIKD,davisDC000001,davisPT000037,,###,#
davisBC000039,5.0,KIKD,davisDC000001,davisPT000038,,###,#
davisBC000040,5.0,KIKD,davisDC000001,davisPT000039,,###,#
davisBC000041,5.0,KIKD,davisDC000001,davisPT000040,,###,#
davisBC000042,5.0,KIKD,davisDC000001,davisPT000041,,###,#
davisBC000043,5.0,KIKD,davisDC000001,davisPT000042,,###,#
davisBC000044,5.0,KIKD,davisDC000001,davisPT000043,,###,#
davisBC000045,5.0,KIKD,davisDC000001,davisPT000044,,###,#
davisBC000046,5.0,KIKD,davisDC000001,davisPT000045,,###,#
davisBC000047,5.0,KIKD,davisDC000001,davisPT000046,,###,#
davisBC000048,5.0,KIKD,davisDC000001,davisPT000047,,###,#
davisBC000049,5.0,KIKD,davisDC000001,davisPT000048,,###,#
davisBC000050,5.0,KIKD,davisDC000001,davisPT000049,,###,#
davisBC000051,5.0,KIKD,davisDC000001,davisPT000050,,###,#
davisBC000052,5.0,KIKD,davisDC000001,davisPT000051,,###,#
davisBC000053,8.744727495,KIKD,davisDC000001,davisPT000052,,###,#
davisBC000054,5.0,KIKD,davisDC000001,davisPT000053,,###,#
davisBC000055,6.017728767,KIKD,davisDC000001,davisPT000054,,###,#
davisBC000056,5.0,KIKD,davisDC000001,davisPT000055,,###,#
davisBC000057,5.0,KIKD,davisDC000001,davisPT000056,,###,#
davisBC000058,5.0,KIKD,davisDC000001,davisPT000057,,###,#
davisBC000059,5.0,KIKD,davisDC000001,davisPT000058,,###,#
davisBC000060,5.0,KIKD,davisDC000001,davisPT000059,,###,#
davisBC000061,5.0,KIKD,davisDC000001,davisPT000060,,###,#
davisBC000062,5.0,KIKD,davisDC000001,davisPT000061,,###,#
davisBC000063,5.0,KIKD,davisDC000001,davisPT000062,,###,#
davisBC000064,5.0,KIKD,davisDC000001,davisPT000063,,###,#
davisBC000065,7.853871964,KIKD,davisDC000001,davisPT000064,,###,#
davisBC000066,5.0,KIKD,davisDC000001,davisPT000065,,###,#
davisBC000067,5.0,KIKD,davisDC000001,davisPT000066,,###,#
davisBC000068,5.0,KIKD,davisDC000001,davisPT000067,,###,#
davisBC000069,8.602059991,KIKD,davisDC000001,davisPT000068,,###,#
davisBC000070,5.0,KIKD,davisDC000001,davisPT000069,,###,#
davisBC000071,5.0,KIKD,davisDC000001,davisPT000070,,###,#
davisBC000072,5.0,KIKD,davisDC000001,davisPT000071,,###,#
davisBC000073,5.0,KIKD,davisDC000001,davisPT000072,,###,#
davisBC000074,5.0,KIKD,davisDC000001,davisPT000073,,###,#
davisBC000075,5.0,KIKD,davisDC000001,davisPT000074,,###,#
davisBC000076,7.508638306,KIKD,davisDC000001,davisPT000075,,###,#
davisBC000077,5.0,KIKD,davisDC000001,davisPT000076,,###,#
davisBC000078,5.0,KIKD,davisDC000001,davisPT000077,,###,#
davisBC000079,5.0,KIKD,davisDC000001,davisPT000078,,###,#
davisBC000080,5.0,KIKD,davisDC000001,davisPT000079,,###,#
davisBC000081,5.0,KIKD,davisDC000001,davisPT000080,,###,#
davisBC000082,8.229147988,KIKD,davisDC000001,davisPT000081,,###,#
davisBC000083,5.0,KIKD,davisDC000001,davisPT000082,,###,#
davisBC000084,5.0,KIKD,davisDC000001,davisPT000083,,###,#
davisBC000085,5.0,KIKD,davisDC000001,davisPT000084,,###,#
davisBC000086,6.251811973,KIKD,davisDC000001,davisPT000085,,###,#
davisBC000087,8.958607315,KIKD,davisDC000001,davisPT000086,,###,#
davisBC000088,5.0,KIKD,davisDC000001,davisPT000087,,###,#
davisBC000089,5.0,KIKD,davisDC000001,davisPT000088,,###,#
davisBC000090,5.0,KIKD,davisDC000001,davisPT000089,,###,#
davisBC000091,5.0,KIKD,davisDC000001,davisPT000090,,###,#
davisBC000092,5.0,KIKD,davisDC000001,davisPT000091,,###,#
davisBC000093,5.0,KIKD,davisDC000001,davisPT000092,,###,#
davisBC000094,5.0,KIKD,davisDC000001,davisPT000093,,###,#
davisBC000095,5.0,KIKD,davisDC000001,davisPT000094,,###,#
davisBC000096,5.0,KIKD,davisDC000001,davisPT000095,,###,#
davisBC000097,5.0,KIKD,davisDC000001,davisPT000096,,###,#
davisBC000098,5.0,KIKD,davisDC000001,davisPT000097,,###,#
davisBC000099,5.0,KIKD,davisDC000001,davisPT000098,,###,#
davisBC000100,5.0,KIKD,davisDC000001,davisPT000099,,###,#
davisBC000101,5.0,KIKD,davisDC000001,davisPT000100,,###,#
davisBC000102,5.0,KIKD,davisDC000001,davisPT000101,,###,#
davisBC000103,5.0,KIKD,davisDC000001,davisPT000102,,###,#
davisBC000104,5.0,KIKD,davisDC000001,davisPT000103,,###,#
davisBC000105,5.0,KIKD,davisDC000001,davisPT000104,,###,#
davisBC000106,5.0,KIKD,davisDC000001,davisPT000105,,###,#
davisBC000107,5.0,KIKD,davisDC000001,davisPT000106,,###,#
davisBC000108,5.0,KIKD,davisDC000001,davisPT000107,,###,#
davisBC000109,5.0,KIKD,davisDC000001,davisPT000108,,###,#
davisBC000110,5.0,KIKD,davisDC000001,davisPT000109,,###,#
davisBC000111,5.0,KIKD,davisDC000001,davisPT000110,,###,#
davisBC000112,5.0,KIKD,davisDC000001,davisPT000111,,###,#
davisBC000113,5.259637311,KIKD,davisDC000001,davisPT000112,,###,#
davisBC000114,9.15490196,KIKD,davisDC000001,davisPT000113,,###,#
davisBC000115,5.0,KIKD,davisDC000001,davisPT000114,,###,#
davisBC000116,5.0,KIKD,davisDC000001,davisPT000115,,###,#
davisBC000117,5.0,KIKD,davisDC000001,davisPT000116,,###,#
davisBC000118,5.0,KIKD,davisDC000001,davisPT000117,,###,#
davisBC000119,6.0,KIKD,davisDC000001,davisPT000118,,###,#
davisBC000120,5.0,KIKD,davisDC000001,davisPT000119,,###,#
davisBC000121,5.0,KIKD,davisDC000001,davisPT000120,,###,#
davisBC000122,5.0,KIKD,davisDC000001,davisPT000121,,###,#
davisBC000123,5.0,KIKD,davisDC000001,davisPT000122,,###,#
davisBC000124,7.356547324,KIKD,davisDC000001,davisPT000123,,###,#
davisBC000125,5.0,KIKD,davisDC000001,davisPT000124,,###,#
davisBC000126,5.0,KIKD,davisDC000001,davisPT000125,,###,#
davisBC000127,5.0,KIKD,davisDC000001,davisPT000126,,###,#
davisBC000128,5.0,KIKD,davisDC000001,davisPT000127,,###,#
davisBC000129,5.677780705,KIKD,davisDC000001,davisPT000128,,###,#
davisBC000130,5.0,KIKD,davisDC000001,davisPT000129,,###,#
davisBC000131,5.0,KIKD,davisDC000001,davisPT000130,,###,#
davisBC000132,5.0,KIKD,davisDC000001,davisPT000131,,###,#
davisBC000133,5.0,KIKD,davisDC000001,davisPT000132,,###,#
davisBC000134,7.823908741,KIKD,davisDC000001,davisPT000133,,###,#
davisBC000135,5.200659451,KIKD,davisDC000001,davisPT000109,,###,#
davisBC000136,5.769551079,KIKD,davisDC000001,davisPT000134,,###,#
davisBC000137,5.0,KIKD,davisDC000001,davisPT000135,,###,#
davisBC000138,5.0,KIKD,davisDC000001,davisPT000136,,###,#
davisBC000139,5.0,KIKD,davisDC000001,davisPT000137,,###,#
davisBC000140,5.0,KIKD,davisDC000001,davisPT000138,,###,#
davisBC000141,5.0,KIKD,davisDC000001,davisPT000139,,###,#
davisBC000142,5.0,KIKD,davisDC000001,davisPT000140,,###,#
davisBC000143,5.0,KIKD,davisDC000001,davisPT000141,,###,#
davisBC000144,7.187086643,KIKD,davisDC000001,davisPT000081,,###,#
davisBC000145,5.0,KIKD,davisDC000001,davisPT000142,,###,#
davisBC000146,5.0,KIKD,davisDC000001,davisPT000143,,###,#
davisBC000147,5.0,KIKD,davisDC000001,davisPT000144,,###,#
davisBC000148,7.397940009,KIKD,davisDC000001,davisPT000145,,###,#
davisBC000149,5.0,KIKD,davisDC000001,davisPT000146,,###,#
davisBC000150,5.0,KIKD,davisDC000001,davisPT000147,,###,#
davisBC000151,5.0,KIKD,davisDC000001,davisPT000148,,###,#
davisBC000152,5.0,KIKD,davisDC000001,davisPT000149,,###,#
davisBC000153,5.0,KIKD,davisDC000001,davisPT000150,,###,#
davisBC000154,5.0,KIKD,davisDC000001,davisPT000151,,###,#
davisBC000155,5.0,KIKD,davisDC000001,davisPT000152,,###,#
davisBC000156,5.0,KIKD,davisDC000001,davisPT000153,,###,#
davisBC000157,5.0,KIKD,davisDC000001,davisPT000154,,###,#
davisBC000158,5.0,KIKD,davisDC000001,davisPT000155,,###,#
davisBC000159,5.0,KIKD,davisDC000001,davisPT000156,,###,#
davisBC000160,5.0,KIKD,davisDC000001,davisPT000157,,###,#
davisBC000161,5.0,KIKD,davisDC000001,davisPT000158,,###,#
davisBC000162,5.0,KIKD,davisDC000001,davisPT000159,,###,#
davisBC000163,5.0,KIKD,davisDC000001,davisPT000160,,###,#
davisBC000164,5.0,KIKD,davisDC000001,davisPT000161,,###,#
davisBC000165,5.0,KIKD,davisDC000001,davisPT000162,,###,#
davisBC000166,5.0,KIKD,davisDC000001,davisPT000163,,###,#
davisBC000167,8.0,KIKD,davisDC000001,davisPT000164,,###,#
davisBC000168,5.0,KIKD,davisDC000001,davisPT000165,,###,#
davisBC000169,5.0,KIKD,davisDC000001,davisPT000166,,###,#
davisBC000170,5.0,KIKD,davisDC000001,davisPT000167,,###,#
davisBC000171,5.0,KIKD,davisDC000001,davisPT000168,,###,#
davisBC000172,5.0,KIKD,davisDC000001,davisPT000169,,###,#
davisBC000173,5.0,KIKD,davisDC000001,davisPT000170,,###,#
davisBC000174,5.0,KIKD,davisDC000001,davisPT000171,,###,#
davisBC000175,5.0,KIKD,davisDC000001,davisPT000172,,###,#
davisBC000176,5.0,KIKD,davisDC000001,davisPT000173,,###,#
davisBC000177,5.0,KIKD,davisDC000001,davisPT000174,,###,#
davisBC000178,5.0,KIKD,davisDC000001,davisPT000175,,###,#
davisBC000179,5.48148606,KIKD,davisDC000001,davisPT000176,,###,#
davisBC000180,5.0,KIKD,davisDC000001,davisPT000177,,###,#
davisBC000181,5.0,KIKD,davisDC000001,davisPT000178,,###,#
davisBC000182,5.0,KIKD,davisDC000001,davisPT000179,,###,#
davisBC000183,5.0,KIKD,davisDC000001,davisPT000180,,###,#
davisBC000184,5.0,KIKD,davisDC000001,davisPT000181,,###,#
davisBC000185,6.420216403,KIKD,davisDC000001,davisPT000182,,###,#
davisBC000186,5.0,KIKD,davisDC000001,davisPT000183,,###,#
davisBC000187,5.0,KIKD,davisDC000001,davisPT000184,,###,#
davisBC000188,7.677780705,KIKD,davisDC000001,davisPT000086,,###,#
davisBC000189,5.0,KIKD,davisDC000001,davisPT000185,,###,#
davisBC000190,5.0,KIKD,davisDC000001,davisPT000186,,###,#
davisBC000191,5.0,KIKD,davisDC000001,davisPT000187,,###,#
davisBC000192,5.0,KIKD,davisDC000001,davisPT000188,,###,#
davisBC000193,5.0,KIKD,davisDC000001,davisPT000189,,###,#
davisBC000194,5.0,KIKD,davisDC000001,davisPT000190,,###,#
davisBC000195,5.0,KIKD,davisDC000001,davisPT000191,,###,#
davisBC000196,5.0,KIKD,davisDC000001,davisPT000192,,###,#
davisBC000197,5.0,KIKD,davisDC000001,davisPT000193,,###,#
davisBC000198,5.0,KIKD,davisDC000001,davisPT000194,,###,#
davisBC000199,5.0,KIKD,davisDC000001,davisPT000195,,###,#
davisBC000200,5.0,KIKD,davisDC000001,davisPT000196,,###,#
davisBC000201,5.0,KIKD,davisDC000001,davisPT000197,,###,#
davisBC000202,5.0,KIKD,davisDC000001,davisPT000198,,###,#
davisBC000203,5.0,KIKD,davisDC000001,davisPT000199,,###,#
davisBC000204,5.0,KIKD,davisDC000001,davisPT000200,,###,#
davisBC000205,5.0,KIKD,davisDC000001,davisPT000201,,###,#
davisBC000206,5.0,KIKD,davisDC000001,davisPT000202,,###,#
davisBC000207,5.0,KIKD,davisDC000001,davisPT000203,,###,#
davisBC000208,5.0,KIKD,davisDC000001,davisPT000204,,###,#
davisBC000209,5.0,KIKD,davisDC000001,davisPT000205,,###,#
davisBC000210,5.0,KIKD,davisDC000001,davisPT000206,,###,#
davisBC000211,5.0,KIKD,davisDC000001,davisPT000207,,###,#
davisBC000212,5.0,KIKD,davisDC000001,davisPT000208,,###,#
davisBC000213,5.0,KIKD,davisDC000001,davisPT000209,,###,#
davisBC000214,5.27572413,KIKD,davisDC000001,davisPT000210,,###,#
davisBC000215,7.853871964,KIKD,davisDC000001,davisPT000211,,###,#
davisBC000216,5.0,KIKD,davisDC000001,davisPT000212,,###,#
davisBC000217,5.0,KIKD,davisDC000001,davisPT000213,,###,#
davisBC000218,5.0,KIKD,davisDC000001,davisPT000214,,###,#
davisBC000219,5.619788758,KIKD,davisDC000001,davisPT000215,,###,#
davisBC000220,5.0,KIKD,davisDC000001,davisPT000216,,###,#
davisBC000221,5.0,KIKD,davisDC000001,davisPT000217,,###,#
davisBC000222,5.0,KIKD,davisDC000001,davisPT000218,,###,#
davisBC000223,5.0,KIKD,davisDC000001,davisPT000219,,###,#
davisBC000224,5.0,KIKD,davisDC000001,davisPT000220,,###,#
davisBC000225,5.0,KIKD,davisDC000001,davisPT000221,,###,#
davisBC000226,5.0,KIKD,davisDC000001,davisPT000222,,###,#
davisBC000227,5.0,KIKD,davisDC000001,davisPT000223,,###,#
davisBC000228,5.0,KIKD,davisDC000001,davisPT000224,,###,#
davisBC000229,5.0,KIKD,davisDC000001,davisPT000225,,###,#
davisBC000230,5.0,KIKD,davisDC000001,davisPT000226,,###,#
davisBC000231,5.0,KIKD,davisDC000001,davisPT000227,,###,#
davisBC000232,5.0,KIKD,davisDC000001,davisPT000228,,###,#
davisBC000233,5.0,KIKD,davisDC000001,davisPT000229,,###,#
davisBC000234,5.346787486,KIKD,davisDC000001,davisPT000230,,###,#
davisBC000235,5.0,KIKD,davisDC000001,davisPT000231,,###,#
davisBC000236,5.0,KIKD,davisDC000001,davisPT000232,,###,#
davisBC000237,5.0,KIKD,davisDC000001,davisPT000233,,###,#
davisBC000238,5.0,KIKD,davisDC000001,davisPT000234,,###,#
davisBC000239,5.0,KIKD,davisDC000001,davisPT000235,,###,#
davisBC000240,5.0,KIKD,davisDC000001,davisPT000236,,###,#
davisBC000241,5.823908741,KIKD,davisDC000001,davisPT000237,,###,#
davisBC000242,5.0,KIKD,davisDC000001,davisPT000238,,###,#
davisBC000243,5.0,KIKD,davisDC000001,davisPT000239,,###,#
davisBC000244,5.0,KIKD,davisDC000001,davisPT000240,,###,#
davisBC000245,5.0,KIKD,davisDC000001,davisPT000241,,###,#
davisBC000246,5.0,KIKD,davisDC000001,davisPT000242,,###,#
davisBC000247,5.0,KIKD,davisDC000001,davisPT000243,,###,#
davisBC000248,5.0,KIKD,davisDC000001,davisPT000244,,###,#
davisBC000249,5.0,KIKD,davisDC000001,davisPT000245,,###,#
davisBC000250,5.0,KIKD,davisDC000001,davisPT000246,,###,#
davisBC000251,5.0,KIKD,davisDC000001,davisPT000247,,###,#
davisBC000252,5.0,KIKD,davisDC000001,davisPT000248,,###,#
davisBC000253,5.0,KIKD,davisDC000001,davisPT000249,,###,#
davisBC000254,5.0,KIKD,davisDC000001,davisPT000250,,###,#
davisBC000255,5.853871964,KIKD,davisDC000001,davisPT000251,,###,#
davisBC000256,6.886056648,KIKD,davisDC000001,davisPT000252,,###,#
davisBC000257,5.0,KIKD,davisDC000001,davisPT000253,,###,#
davisBC000258,5.0,KIKD,davisDC000001,davisPT000254,,###,#
davisBC000259,5.0,KIKD,davisDC000001,davisPT000255,,###,#
davisBC000260,5.0,KIKD,davisDC000001,davisPT000256,,###,#
davisBC000261,5.0,KIKD,davisDC000001,davisPT000257,,###,#
davisBC000262,5.0,KIKD,davisDC000001,davisPT000258,,###,#
davisBC000263,5.0,KIKD,davisDC000001,davisPT000259,,###,#
davisBC000264,5.0,KIKD,davisDC000001,davisPT000260,,###,#
davisBC000265,5.0,KIKD,davisDC000001,davisPT000261,,###,#
davisBC000266,5.0,KIKD,davisDC000001,davisPT000262,,###,#
davisBC000267,5.0,KIKD,davisDC000001,davisPT000263,,###,#
davisBC000268,5.0,KIKD,davisDC000001,davisPT000264,,###,#
davisBC000269,5.0,KIKD,davisDC000001,davisPT000265,,###,#
davisBC000270,5.0,KIKD,davisDC000001,davisPT000266,,###,#
davisBC000271,5.0,KIKD,davisDC000001,davisPT000267,,###,#
davisBC000272,5.0,KIKD,davisDC000001,davisPT000268,,###,#
davisBC000273,5.0,KIKD,davisDC000001,davisPT000269,,###,#
davisBC000274,5.0,KIKD,davisDC000001,davisPT000270,,###,#
davisBC000275,5.0,KIKD,davisDC000001,davisPT000271,,###,#
davisBC000276,5.0,KIKD,davisDC000001,davisPT000272,,###,#
davisBC000277,5.0,KIKD,davisDC000001,davisPT000273,,###,#
davisBC000278,5.0,KIKD,davisDC000001,davisPT000274,,###,#
davisBC000279,5.0,KIKD,davisDC000001,davisPT000275,,###,#
davisBC000280,5.0,KIKD,davisDC000001,davisPT000276,,###,#
davisBC000281,5.0,KIKD,davisDC000001,davisPT000277,,###,#
davisBC000282,5.0,KIKD,davisDC000001,davisPT000278,,###,#
davisBC000283,5.0,KIKD,davisDC000001,davisPT000279,,###,#
davisBC000284,5.0,KIKD,davisDC000001,davisPT000280,,###,#
davisBC000285,5.0,KIKD,davisDC000001,davisPT000281,,###,#
davisBC000286,5.0,KIKD,davisDC000001,davisPT000282,,###,#
davisBC000287,5.0,KIKD,davisDC000001,davisPT000283,,###,#
davisBC000288,5.0,KIKD,davisDC000001,davisPT000284,,###,#
davisBC000289,5.0,KIKD,davisDC000001,davisPT000285,,###,#
davisBC000290,5.0,KIKD,davisDC000001,davisPT000286,,###,#
davisBC000291,6.008773924,KIKD,davisDC000001,davisPT000287,,###,#
davisBC000292,5.0,KIKD,davisDC000001,davisPT000288,,###,#
davisBC000293,5.0,KIKD,davisDC000001,davisPT000289,,###,#
davisBC000294,5.0,KIKD,davisDC000001,davisPT000290,,###,#
davisBC000295,5.0,KIKD,davisDC000001,davisPT000291,,###,#
davisBC000296,5.0,KIKD,davisDC000001,davisPT000292,,###,#
davisBC000297,6.769551079,KIKD,davisDC000001,davisPT000293,,###,#
davisBC000298,5.0,KIKD,davisDC000001,davisPT000294,,###,#
davisBC000299,5.0,KIKD,davisDC000001,davisPT000295,,###,#
davisBC000300,5.0,KIKD,davisDC000001,davisPT000296,,###,#
davisBC000301,5.0,KIKD,davisDC000001,davisPT000297,,###,#
davisBC000302,5.0,KIKD,davisDC000001,davisPT000298,,###,#
davisBC000303,5.0,KIKD,davisDC000001,davisPT000299,,###,#
davisBC000304,5.0,KIKD,davisDC000001,davisPT000300,,###,#
davisBC000305,5.0,KIKD,davisDC000001,davisPT000301,,###,#
davisBC000306,5.0,KIKD,davisDC000001,davisPT000302,,###,#
davisBC000307,5.0,KIKD,davisDC000001,davisPT000303,,###,#
davisBC000308,5.0,KIKD,davisDC000001,davisPT000304,,###,#
davisBC000309,5.0,KIKD,davisDC000001,davisPT000305,,###,#
davisBC000310,5.0,KIKD,davisDC000001,davisPT000306,,###,#
davisBC000311,5.0,KIKD,davisDC000001,davisPT000307,,###,#
davisBC000312,5.0,KIKD,davisDC000001,davisPT000308,,###,#
davisBC000313,5.0,KIKD,davisDC000001,davisPT000309,,###,#
davisBC000314,5.0,KIKD,davisDC000001,davisPT000310,,###,#
davisBC000315,5.0,KIKD,davisDC000001,davisPT000311,,###,#
davisBC000316,5.0,KIKD,davisDC000001,davisPT000312,,###,#
davisBC000317,5.0,KIKD,davisDC000001,davisPT000313,,###,#
davisBC000318,5.0,KIKD,davisDC000001,davisPT000314,,###,#
davisBC000319,5.0,KIKD,davisDC000001,davisPT000315,,###,#
davisBC000320,5.0,KIKD,davisDC000001,davisPT000316,,###,#
davisBC000321,5.0,KIKD,davisDC000001,davisPT000317,,###,#
davisBC000322,5.0,KIKD,davisDC000001,davisPT000318,,###,#
davisBC000323,5.0,KIKD,davisDC000001,davisPT000319,,###,#
davisBC000324,5.0,KIKD,davisDC000001,davisPT000320,,###,#
davisBC000325,5.0,KIKD,davisDC000001,davisPT000321,,###,#
davisBC000326,5.0,KIKD,davisDC000001,davisPT000322,,###,#
davisBC000327,5.0,KIKD,davisDC000001,davisPT000323,,###,#
davisBC000328,6.283996656,KIKD,davisDC000001,davisPT000324,,###,#
davisBC000329,5.0,KIKD,davisDC000001,davisPT000325,,###,#
davisBC000330,5.0,KIKD,davisDC000001,davisPT000326,,###,#
davisBC000331,5.0,KIKD,davisDC000001,davisPT000327,,###,#
davisBC000332,5.0,KIKD,davisDC000001,davisPT000328,,###,#
davisBC000333,5.0,KIKD,davisDC000001,davisPT000329,,###,#
davisBC000334,5.0,KIKD,davisDC000001,davisPT000330,,###,#
davisBC000335,5.0,KIKD,davisDC000001,davisPT000331,,###,#
davisBC000336,5.0,KIKD,davisDC000001,davisPT000332,,###,#
davisBC000337,5.0,KIKD,davisDC000001,davisPT000333,,###,#
davisBC000338,5.0,KIKD,davisDC000001,davisPT000334,,###,#
davisBC000339,5.0,KIKD,davisDC000001,davisPT000335,,###,#
davisBC000340,5.0,KIKD,davisDC000001,davisPT000336,,###,#
davisBC000341,5.0,KIKD,davisDC000001,davisPT000337,,###,#
davisBC000342,5.0,KIKD,davisDC000001,davisPT000338,,###,#
davisBC000343,5.0,KIKD,davisDC000001,davisPT000339,,###,#
davisBC000344,5.0,KIKD,davisDC000001,davisPT000340,,###,#
davisBC000345,5.0,KIKD,davisDC000001,davisPT000341,,###,#
davisBC000346,5.0,KIKD,davisDC000001,davisPT000342,,###,#
davisBC000347,5.0,KIKD,davisDC000001,davisPT000343,,###,#
davisBC000348,5.0,KIKD,davisDC000001,davisPT000344,,###,#
davisBC000349,5.060480747,KIKD,davisDC000001,davisPT000171,,###,#
davisBC000350,5.0,KIKD,davisDC000001,davisPT000345,,###,#
davisBC000351,5.0,KIKD,davisDC000001,davisPT000346,,###,#
davisBC000352,5.0,KIKD,davisDC000001,davisPT000347,,###,#
davisBC000353,5.0,KIKD,davisDC000001,davisPT000348,,###,#
davisBC000354,5.0,KIKD,davisDC000001,davisPT000349,,###,#
davisBC000355,5.0,KIKD,davisDC000001,davisPT000350,,###,#
davisBC000356,5.0,KIKD,davisDC000001,davisPT000351,,###,#
davisBC000357,5.0,KIKD,davisDC000001,davisPT000352,,###,#
davisBC000358,5.0,KIKD,davisDC000001,davisPT000353,,###,#
davisBC000359,5.0,KIKD,davisDC000001,davisPT000354,,###,#
davisBC000360,5.0,KIKD,davisDC000001,davisPT000355,,###,#
davisBC000361,5.0,KIKD,davisDC000001,davisPT000356,,###,#
davisBC000362,5.0,KIKD,davisDC000001,davisPT000357,,###,#
davisBC000363,5.0,KIKD,davisDC000001,davisPT000358,,###,#
davisBC000364,5.0,KIKD,davisDC000001,davisPT000359,,###,#
davisBC000365,5.0,KIKD,davisDC000001,davisPT000360,,###,#
davisBC000366,5.0,KIKD,davisDC000001,davisPT000361,,###,#
davisBC000367,5.0,KIKD,davisDC000001,davisPT000362,,###,#
davisBC000368,5.0,KIKD,davisDC000001,davisPT000363,,###,#
davisBC000369,5.602059991,KIKD,davisDC000001,davisPT000364,,###,#
davisBC000370,5.0,KIKD,davisDC000001,davisPT000365,,###,#
davisBC000371,5.0,KIKD,davisDC000001,davisPT000366,,###,#
davisBC000372,5.0,KIKD,davisDC000001,davisPT000367,,###,#
davisBC000373,7.036212173,KIKD,davisDC000001,davisPT000052,,###,#
davisBC000374,5.0,KIKD,davisDC000001,davisPT000368,,###,#
davisBC000375,5.0,KIKD,davisDC000001,davisPT000369,,###,#
davisBC000376,5.0,KIKD,davisDC000001,davisPT000370,,###,#
davisBC000377,7.823908741,KIKD,davisDC000001,davisPT000371,,###,#
davisBC000378,5.0,KIKD,davisDC000001,davisPT000372,,###,#
davisBC000379,5.0,KIKD,davisDC000001,davisPT000373,,###,#
davisBC000380,5.0,KIKD,davisDC000001,davisPT000374,,###,#
davisBC000381,5.0,KIKD,davisDC000001,davisPT000375,,###,#
davisBC000382,5.0,KIKD,davisDC000001,davisPT000376,,###,#
davisBC000383,5.0,KIKD,davisDC000001,davisPT000377,,###,#
davisBC000384,5.0,KIKD,davisDC000001,davisPT000378,,###,#
davisBC000385,5.0,KIKD,davisDC000001,davisPT000379,,###,#
davisBC000386,5.0,KIKD,davisDC000001,davisPT000380,,###,#
davisBC000387,5.0,KIKD,davisDC000001,davisPT000381,,###,#
davisBC000388,5.0,KIKD,davisDC000001,davisPT000382,,###,#
davisBC000389,5.0,KIKD,davisDC000001,davisPT000383,,###,#
davisBC000390,5.0,KIKD,davisDC000001,davisPT000384,,###,#
davisBC000391,5.0,KIKD,davisDC000001,davisPT000385,,###,#
davisBC000392,5.107905397,KIKD,davisDC000001,davisPT000386,,###,#
davisBC000393,7.958607315,KIKD,davisDC000001,davisPT000387,,###,#
davisBC000394,6.958607315,KIKD,davisDC000001,davisPT000068,,###,#
